iter	Passed	Remaining
0	110	55194
1	145	36126
2	192	31950
3	228	28388
4	282	27965
5	319	26299
6	383	27042
7	518	31894
8	591	32275
9	625	30659
10	667	29684
11	701	28547
12	738	27671
13	790	27454
14	834	26996
15	870	26337
16	907	25770
17	946	25344
18	1009	25555
19	1045	25098
20	1083	24705
21	1118	24296
22	1152	23901
23	1206	23930
24	1253	23823
25	1287	23472
26	1320	23140
27	1356	22861
28	1390	22576
29	1425	22327
30	1459	22084
31	1492	21830
32	1530	21652
33	1568	21501
34	1602	21293
35	1639	21136
36	1684	21074
37	1723	20953
38	1756	20768
39	1795	20648
40	1874	20984
41	1920	20943
42	1955	20786
43	1990	20627
44	2025	20481
45	2059	20325
46	2092	20170
47	2126	20021
48	2160	19882
49	2193	19741
50	2227	19606
51	2260	19476
52	2294	19353
53	2328	19229
54	2363	19123
55	2404	19065
56	2446	19012
57	2495	19014
58	2532	18926
59	2567	18830
60	2607	18767
61	2642	18667
62	2678	18578
63	2737	18650
64	2774	18565
65	2808	18465
66	2841	18362
67	2880	18298
68	2913	18199
69	2947	18103
70	2981	18013
71	3014	17921
72	3047	17828
73	3081	17736
74	3114	17651
75	3148	17563
76	3182	17480
77	3217	17410
78	3266	17408
79	3312	17388
80	3366	17416
81	3403	17347
82	3436	17267
83	3471	17193
84	3505	17113
85	3539	17037
86	3572	16960
87	3607	16891
88	3641	16816
89	3675	16744
90	3708	16669
91	3743	16602
92	3777	16532
93	3811	16462
94	3845	16394
95	3882	16337
96	3915	16267
97	3948	16198
98	3982	16129
99	4015	16062
100	4049	15997
101	4083	15933
102	4117	15869
103	4152	15809
104	4187	15751
105	4220	15686
106	4252	15619
107	4285	15554
108	4321	15502
109	4357	15448
110	4391	15389
111	4425	15330
112	4459	15272
113	4493	15214
114	4528	15160
115	4562	15102
116	4596	15048
117	4630	14991
118	4665	14936
119	4698	14879
120	4732	14823
121	4767	14771
122	4801	14716
123	4837	14667
124	4872	14616
125	4906	14562
126	4939	14507
127	4973	14454
128	5008	14403
129	5041	14349
130	5075	14296
131	5108	14241
132	5141	14187
133	5175	14135
134	5209	14085
135	5243	14034
136	5277	13983
137	5311	13932
138	5344	13881
139	5379	13831
140	5413	13783
141	5446	13731
142	5480	13681
143	5514	13632
144	5547	13582
145	5581	13532
146	5614	13482
147	5655	13452
148	5689	13402
149	5723	13353
150	5756	13305
151	5790	13256
152	5822	13205
153	5858	13162
154	5893	13117
155	5926	13068
156	5959	13019
157	5993	12974
158	6028	12928
159	6062	12882
160	6096	12835
161	6128	12786
162	6163	12743
163	6197	12697
164	6230	12650
165	6264	12605
166	6299	12560
167	6332	12515
168	6366	12469
169	6401	12426
170	6435	12381
171	6468	12335
172	6502	12291
173	6537	12247
174	6570	12203
175	6605	12160
176	6638	12115
177	6672	12070
178	6706	12026
179	6740	11983
180	6774	11938
181	6807	11894
182	6840	11850
183	6873	11804
184	6906	11760
185	6939	11715
186	6973	11671
187	7006	11628
188	7040	11585
189	7074	11541
190	7107	11498
191	7141	11456
192	7175	11413
193	7209	11370
194	7243	11328
195	7276	11285
196	7310	11243
197	7343	11200
198	7379	11162
199	7413	11120
200	7447	11078
201	7482	11038
202	7515	10995
203	7549	10953
204	7583	10913
205	7618	10872
206	7652	10831
207	7686	10790
208	7719	10748
209	7753	10707
210	7789	10668
211	7823	10627
212	7858	10588
213	7892	10548
214	7926	10507
215	7961	10468
216	7995	10427
217	8029	10386
218	8064	10347
219	8097	10306
220	8132	10266
221	8166	10226
222	8199	10185
