iter	Logloss
0	0.6868541332
1	0.6811564388
2	0.6744185921
3	0.66802291
4	0.662432688
5	0.6569210244
6	0.6517465353
7	0.6461690182
8	0.6409561421
9	0.6360926908
10	0.6310112032
11	0.6258397155
12	0.6211591223
13	0.6166344882
14	0.6122340232
15	0.6075085811
16	0.6037151732
17	0.5998383832
18	0.5952179887
19	0.590937902
20	0.5868837994
21	0.5826585167
22	0.578761397
23	0.5750472358
24	0.5712046095
25	0.567705666
26	0.5640390921
27	0.5608276223
28	0.5577008258
29	0.5540752917
30	0.5509692986
31	0.5475503745
32	0.544073743
33	0.541236482
34	0.5382105717
35	0.5353660161
36	0.5322957503
37	0.5293099214
38	0.5264919233
39	0.5237821738
40	0.5210238054
41	0.5180805649
42	0.5151466049
43	0.5126517381
44	0.5100879195
45	0.5074977205
46	0.504781906
47	0.5024699413
48	0.5002513534
49	0.49790201
50	0.4955560903
51	0.4932945944
52	0.491152123
53	0.4890298737
54	0.4869312582
55	0.4850329692
56	0.4831923559
57	0.4813377887
58	0.4795588029
59	0.4777339374
60	0.475676051
61	0.4738100101
62	0.4721761628
63	0.470242222
64	0.4685725269
65	0.4667574027
66	0.465070997
67	0.4632926311
68	0.4616029795
69	0.4601735674
70	0.4584939502
71	0.4568159477
72	0.4552553172
73	0.4536551472
74	0.4521609191
75	0.4505963387
76	0.4491503862
77	0.448020203
78	0.4466115199
79	0.4452420925
80	0.4435465221
81	0.4421993652
82	0.4408232909
83	0.4394748795
84	0.4379833206
85	0.4368088685
86	0.435506651
87	0.4342944257
88	0.4330771386
89	0.431722685
90	0.4307771645
91	0.4294996522
92	0.4285714706
93	0.4275604867
94	0.4261747081
95	0.4251496422
96	0.4239134718
97	0.4228703294
98	0.421768823
99	0.4207798268
100	0.4195386268
101	0.4187505402
102	0.4176148128
103	0.4166781817
104	0.4155338217
105	0.4146440648
106	0.4134282642
107	0.412548657
108	0.4117816528
109	0.410848707
110	0.4097729597
111	0.4088759022
112	0.408036276
113	0.4071340276
114	0.4064669817
115	0.4056563435
116	0.4048679525
117	0.4038828486
118	0.4030565324
119	0.4023718283
120	0.4016462633
121	0.4009087874
122	0.4001691582
123	0.3992786621
124	0.3983407487
125	0.397611874
126	0.3969042887
127	0.396158697
128	0.395432057
129	0.3949147244
130	0.3941868679
131	0.3933482848
132	0.3926810701
133	0.3919883017
134	0.3913904644
135	0.3908473801
136	0.3902557244
137	0.3897494202
138	0.3890607271
139	0.3884054799
140	0.3878215959
141	0.3871676044
142	0.3866742491
143	0.386001662
144	0.3851911529
145	0.3846517323
146	0.3842516735
147	0.3837684336
148	0.3832657005
149	0.3825362209
150	0.3820500363
151	0.3814807116
152	0.3808703276
153	0.3801938176
154	0.3796298995
155	0.3790620578
156	0.3786618029
157	0.3782797697
158	0.3776257848
159	0.3771831963
160	0.3766053976
161	0.37612951
162	0.3755496825
163	0.3750867575
164	0.3745840761
165	0.3742299287
166	0.3737743986
167	0.3733674589
168	0.3728822752
169	0.3724550183
170	0.3720348822
171	0.3716842692
172	0.3712745594
173	0.3707593465
174	0.3703588805
175	0.3700288276
176	0.3696002056
177	0.3690334035
178	0.3686622054
179	0.3682556116
180	0.3677863382
181	0.3674139004
182	0.3669131747
183	0.3665597196
184	0.3661478861
185	0.365669674
186	0.3653905711
187	0.3649608847
188	0.3645847081
189	0.3642579025
190	0.364022665
191	0.363627498
192	0.3633553553
193	0.3630635515
194	0.3628070191
195	0.3624311676
196	0.3621330825
197	0.3617825109
198	0.3615000934
199	0.3612675639
200	0.3608806727
201	0.3605271205
202	0.3602604479
203	0.3600055775
204	0.3596471924
205	0.3593894622
