iter	Passed	Remaining
0	78	39379
1	138	34532
2	198	32907
3	256	31792
4	315	31241
5	376	31001
6	437	30826
7	496	30560
8	557	30399
9	618	30288
10	677	30123
11	738	30034
12	795	29817
13	857	29754
14	921	29782
15	980	29654
16	1040	29557
17	1108	29694
18	1167	29566
19	1227	29450
20	1286	29335
21	1352	29377
22	1443	29945
23	1520	30162
24	1580	30020
25	1638	29872
26	1700	29784
27	1775	29933
28	1850	30048
29	1991	31192
30	2062	31198
31	2138	31281
32	2231	31576
33	2295	31466
34	2374	31541
35	2444	31512
36	2524	31592
37	2600	31616
38	2685	31741
39	2763	31778
40	2844	31841
41	2922	31867
42	3032	32225
43	3103	32165
44	3175	32109
45	3244	32026
46	3334	32142
47	3435	32348
48	3580	32951
49	3676	33090
50	3798	33444
51	3875	33391
52	3968	33472
53	4085	33746
54	4165	33703
55	4239	33616
56	4314	33528
57	4401	33542
58	4558	34072
59	4636	34000
60	4712	33915
61	4837	34172
62	4933	34218
63	5168	35210
64	5242	35084
65	5314	34945
66	5384	34796
67	5488	34868
68	5577	34838
69	5670	34834
70	5773	34883
71	5844	34742
72	5906	34550
73	5981	34432
74	6062	34352
75	6158	34358
76	6227	34210
77	6318	34185
78	6420	34217
79	6509	34173
80	6604	34166
81	6700	34154
82	6791	34122
83	6889	34119
84	6950	33932
85	7011	33754
86	7071	33567
87	7130	33383
88	7189	33200
89	7246	33013
90	7304	32830
91	7364	32661
92	7424	32491
93	7482	32316
94	7544	32163
95	7610	32025
96	7684	31926
97	7759	31829
98	7822	31684
99	7884	31539
100	7946	31390
101	8008	31247
102	8069	31102
103	8134	30973
104	8257	31065
105	8333	30975
106	8395	30836
107	8454	30687
108	8517	30553
109	8592	30463
110	8666	30371
111	8728	30237
112	8785	30089
113	8849	29962
114	8923	29872
115	8994	29775
116	9064	29673
117	9129	29554
118	9192	29431
119	9262	29332
120	9326	29212
121	9393	29104
122	9503	29127
123	9571	29022
124	9647	28943
125	9728	28875
126	9793	28764
127	9859	28653
128	9923	28538
129	9984	28416
130	10046	28299
131	10107	28177
132	10167	28055
133	10226	27932
134	10284	27806
135	10342	27681
136	10400	27557
137	10460	27438
138	10520	27323
139	10581	27210
140	10639	27089
141	10699	26973
142	10758	26858
143	10819	26749
144	10879	26636
145	10938	26521
146	10997	26407
147	11055	26293
148	11114	26182
149	11173	26071
150	11232	25960
151	11291	25852
152	11353	25748
153	11411	25638
154	11471	25532
155	11531	25428
156	11590	25322
157	11648	25214
158	11708	25109
159	11765	25001
160	11824	24898
161	11884	24796
162	11943	24692
163	12000	24585
164	12057	24481
165	12118	24383
166	12177	24282
167	12235	24179
168	12293	24078
169	12352	23977
170	12410	23877
171	12469	23779
172	12529	23682
173	12587	23584
174	12649	23491
175	12708	23395
176	12766	23297
177	12824	23199
178	12883	23104
179	12942	23008
180	13005	22921
181	13062	22823
182	13121	22728
183	13181	22637
184	13239	22543
185	13299	22451
186	13357	22357
187	13417	22267
188	13480	22182
189	13562	22127
190	13624	22041
191	13694	21968
192	13754	21878
193	13816	21793
194	13881	21711
195	13947	21632
196	14041	21596
197	14130	21552
198	14209	21492
199	14286	21430
200	14345	21340
201	14403	21249
202	14464	21162
203	14521	21071
204	14580	20981
205	14637	20890
206	14695	20800
207	14755	20715
208	14814	20626
209	14907	20587
210	14965	20497
211	15024	20410
212	15082	20322
213	15142	20237
214	15200	20149
215	15259	20062
216	15320	19980
217	15382	19898
218	15440	19812
219	15501	19729
220	15561	19644
221	15618	19558
222	15679	19475
223	15735	19388
224	15795	19305
225	15854	19221
226	15913	19138
227	15971	19053
228	16030	18970
229	16087	18885
230	16145	18801
231	16203	18718
232	16262	18635
233	16319	18551
234	16377	18467
235	16436	18386
236	16495	18304
237	16554	18223
238	16610	18139
239	16669	18058
240	16727	17977
241	16784	17894
242	16843	17814
243	16903	17734
244	16963	17656
245	17021	17574
246	17077	17492
247	17135	17411
248	17192	17330
249	17250	17250
250	17311	17173
251	17386	17110
252	17451	17037
253	17519	16967
254	17585	16895
255	17655	16827
256	17726	16760
257	17787	16684
258	18064	16809
259	18124	16730
260	18183	16650
261	18252	16580
262	18319	16508
263	18456	16499
264	18514	16418
265	18645	16402
266	18718	16334
267	18787	16263
268	18872	16206
269	18964	16155
270	19027	16078
271	19087	16000
272	19170	15940
273	19247	15875
274	19321	15808
275	19406	15749
276	19475	15678
277	19533	15598
278	19593	15520
279	19668	15453
280	19727	15375
281	19833	15332
282	19905	15263
283	19971	15189
284	20046	15122
285	20132	15064
286	20235	15018
287	20329	14965
288	20399	14893
289	20497	14843
290	20582	14782
291	20666	14721
292	20730	14645
293	20804	14577
294	20892	14518
295	20975	14455
296	21035	14377
297	21093	14298
298	21161	14225
299	21232	14155
300	21304	14085
301	21394	14026
302	21529	13997
303	21593	13922
304	21662	13849
305	21736	13780
306	21820	13717
307	21897	13650
308	21958	13573
309	22016	13493
310	22090	13424
311	22161	13353
312	22219	13275
313	22296	13207
314	22363	13134
315	22454	13074
316	22571	13030
317	22669	12974
318	22733	12899
319	22793	12821
320	22868	12752
321	22938	12680
322	22997	12602
323	23056	12524
324	23117	12447
325	23225	12396
326	23302	12328
327	23367	12253
328	23426	12176
329	23533	12123
330	23594	12046
331	23658	11971
332	23716	11893
333	23775	11816
334	23842	11743
335	23905	11668
336	23973	11595
337	24033	11519
338	24094	11443
339	24153	11366
340	24213	11290
341	24283	11218
342	24342	11142
343	24400	11065
344	24467	10992
345	24530	10918
346	24587	10841
347	24653	10768
348	24712	10692
349	24772	10616
350	24833	10541
351	24892	10466
352	24954	10391
353	25014	10316
354	25071	10240
355	25130	10165
356	25191	10090
357	25249	10015
358	25308	9940
359	25366	9864
360	25429	9791
361	25487	9716
362	25551	9643
363	25610	9568
364	25673	9495
365	25734	9421
366	25793	9347
367	25858	9275
368	25918	9201
369	25989	9131
370	26054	9059
371	26126	8989
372	26203	8921
373	26295	8858
374	26379	8793
375	26461	8726
376	26531	8656
377	26588	8581
378	26647	8507
379	26705	8433
