Opportunity_ID,Target
10689,0.835
10690,0.698
10691,0.51925
10692,0.3635
10693,0.89
10694,0.89
10695,0.4315
10696,0.4455
10697,0.4865
10698,0.497
10699,0.4765
10700,0.415
10701,0.411
10702,0.4525
10703,0.4115
10704,0.9545
10705,0.8785
10706,0.616
10707,0.379
10708,0.612
10709,0.925
10710,0.678
10711,0.699
10712,0.7
10713,0.672
10714,0.692
10715,0.856
10716,0.7645
10717,0.759
10718,0.875
10719,0.6955
10720,0.4535
10721,0.664
10722,0.8575
10723,0.8835
10724,0.7465
10725,0.969
10726,0.6215
10727,0.4145
10728,0.97
10729,0.6995
10730,0.94825
10731,0.1765
10732,0.4695
10733,0.4695
10734,0.685
10735,0.914
10736,0.9155
10737,0.9505
10738,0.733
10739,0.808
10740,0.454
10741,0.873
10742,0.48
10743,0.7065
10744,0.417
10745,0.417
10746,0.295
10747,0.295
10748,0.734
10749,0.9355
10750,0.5235
10751,0.6675
10752,0.6675
10753,0.702
10754,0.852
10755,0.911
10756,0.878
10757,0.2245
10758,0.306
10759,0.1255
10760,0.139
10761,0.8835
10762,0.6235
10763,0.83175
10764,0.9615
10765,0.358
10766,0.903
10767,0.9365
10768,0.7755
10769,0.4935
10770,0.091
10771,0.139
10772,0.93125
10773,0.628
10774,0.1405
10775,0.066
10776,0.246
10777,0.723
10778,0.8855
10779,0.8085
10780,0.8035
10781,0.5565
10782,0.256
10783,0.198
10784,0.7445
10785,0.721
10786,0.103
10787,0.7625
10788,0.42825
10789,0.2035
10790,0.5135
10791,0.5185
10792,0.744
10793,0.879
10794,0.879
10795,0.96
10796,0.6025
10797,0.5855
10798,0.554
10799,0.536
10800,0.531
10801,0.11
10802,0.4685
10803,0.2975
10804,0.846
10805,0.0175
10806,0.8925
10807,0.271
10808,0.6095
10809,0.6515
10810,0.1005
10811,0.204
10812,0.783
10813,0.087
10814,0.095
10815,0.7485
10816,0.1545
10817,0.0915
10818,0.941
10819,0.1945
10820,0.663
10821,0.2205
10822,0.0145
10823,0.92
10824,0.1555
10825,0.5825
10826,0.671
10827,0.9455
10828,0.967
10829,0.62
10830,0.399
10831,0.7725
10832,0.449
10833,0.261
10834,0.159
10835,0.4815
10836,0.893
10837,0.7995
10838,0.75
10839,0.1485
10840,0.4665
10841,0.271
10842,0.72975
10843,0.74725
10844,0.793
10845,0.9155
10846,0.446
10847,0.425
10848,0.155
10849,0.5115
10850,0.7355
10851,0.1315
10852,0.735
10853,0.639
10854,0.664
10855,0.53825
10856,0.4145
10857,0.448
10858,0.61575
10859,0.1385
10860,0.1385
10861,0.006
10862,0.2795
10863,0.286
10864,0.916
10865,0.841
10866,0.1235
10867,0.0425
10868,0.625
10869,0.03
10870,0.4
10871,0.944
10872,0.105
10873,0.5005
10874,0.936
10875,0.9675
10876,0.956
10877,0.8385
10878,0.833
10879,0.3185
10880,0.158
10881,0.8855
10882,0.5555
10883,0.1755
10884,0.288
10885,0.655
10886,0.548
10887,0.1975
10888,0.66
10889,0.889
10890,0.645
10891,0.8375
10892,0.774
10893,0.276
10894,0.932
10895,0.7675
10896,0.9225
10897,0.9195
10898,0.0805
10899,0.677
10900,0.819
10901,0.831
10902,0.7025
10903,0.087
10904,0.8275
10905,0.8585
10906,0.908
10907,0.564
10908,0.1365
10909,0.962
10910,0.155
10911,0.831
10912,0.722
10913,0.7145
10914,0.262
10915,0.97
10916,0.49275
10917,0.5375
10918,0.844
10919,0.0635
10920,0.457
10921,0.5995
10922,0.2975
10923,0.768
10924,0.9235
10925,0.922
10926,0.121
10927,0.0705
10928,0.841
10929,0.7875
10930,0.608
10931,0.698
10932,0.952
10933,0.8185
10934,0.5715
10935,0.6195
10936,0.4795
10937,0.1445
10938,0.1075
10939,0.6375
10940,0.831
10941,0.1495
10942,0.1365
10943,0.1595
10944,0.1805
10945,0.28
10946,0.8205
10947,0.7115
10948,0.1105
10949,0.9025
10950,0.1355
10951,0.1625
10952,0.58
10953,0.113
10954,0.6485
10955,0.133
10956,0.1005
10957,0.184
10958,0.145
10959,0.0955
10960,0.738
10961,0.797
10962,0.117
10963,0.1575
10964,0.533
10965,0.061
10966,0.858
10967,0.879
10968,0.1185
