Opportunity_ID,Target,Convertibility,Total_Amount_Sum_USD,Total_Taxable_Amount_USD,Year_Creation,Month_Creation,Year_Delivery,Month_Delivery,Days_Passed,Wait_Time_Days,Delivery_Window,Account_LifeSpan_at_Creation,Account_LifeSpan_at_Modif,Account_LifeSpan_at_Deliv,Wait_Delivery_Cmp,Days_Left_Cmp,Days_Wait_Cmp,USD_Per_Day_Waited,USD_Per_Day_Passed,USD_Per_Account_Day,Product_Price_Mean,Product_Price_Max,Product_Price_Std,Product_Price_Min,Total_TRF,Territory_target,Billing_Country_target,Delivery_Terms_target,Bureaucratic_Code_target,Opportunity_Type_target,Source _target,Region_target,Or,Expiry_Days_Create,Expiry_Days_Modified,Days_Modified_Diff_to_Start_Delivery,Days_Modified_Diff_to_End_Delivery
0,0,1.1310961538461537,5964043.799999999,5964043.799999999,2015,12,2016,5,189.0,146.0,60.0,174.0,363.0,320.0,0.410958904109589,-43.0,0.31746031746031744,40849.61506849314,31555.787301587297,34276.11379310344,5964043.799999999,5964043.799999999,,5964043.799999999,10,0.5313336904124264,0.47715736040609136,0.4793542378143434,0.5931108719052745,0.5170542635658915,0.509775967413442,0.46282011724776306,0,54.0,-135.0,43.0,-17.0
1,1,1.1310943396226414,54552.67999999999,54552.67999999999,2015,12,2016,1,39.0,42.0,2.0,174.0,213.0,216.0,0.047619047619047616,3.0,0.05128205128205128,1298.8733333333332,1398.7866666666664,313.5211494252873,54552.67999999999,54552.67999999999,,54552.67999999999,0,0.5313336904124264,0.47715736040609136,0.4793542378143434,0.5931108719052745,0.5170542635658915,0.509775967413442,0.46282011724776306,0,44.0,5.0,-3.0,-5.0
2,1,1.0,83865.6,83865.6,2015,12,2016,1,296.0,48.0,0.0,231.0,527.0,279.0,0.0,-248.0,0.0,1747.2,283.32972972972976,363.05454545454546,83865.6,83865.6,,83865.6,0,0.6298405466970387,0.45063829787234044,0.543384260593831,0.5931108719052745,0.5170542635658915,0.4388593523441276,0.44489629930866204,0,297.0,1.0,248.0,248.0
3,0,1.0,7421881.5,7421881.5,2015,12,2018,2,840.0,786.0,58.0,864.0,1704.0,1650.0,0.0737913486005089,-54.0,0.06904761904761905,9442.597328244276,8835.573214285714,8590.140625,7421881.5,7421881.5,,7421881.5,14,0.6298405466970387,0.45063829787234044,0.44560878243512975,0.26644423260247857,0.15695415695415696,0.6328217237308147,0.44489629930866204,1,,,54.0,-4.0
4,0,1.0,13357192.5,13357192.5,2015,12,2018,2,840.0,786.0,27.0,864.0,1704.0,1650.0,0.03435114503816794,-54.0,0.03214285714285714,16993.88358778626,15901.419642857143,15459.713541666666,13357192.5,13357192.5,,13357192.5,25,0.6298405466970387,0.45063829787234044,0.44560878243512975,0.26644423260247857,0.15695415695415696,0.6328217237308147,0.44489629930866204,1,542.0,-298.0,54.0,27.0
5,0,1.0,14838277.5,14838277.5,2015,12,2018,2,840.0,786.0,58.0,864.0,1704.0,1650.0,0.0737913486005089,-54.0,0.06904761904761905,18878.215648854963,17664.616071428572,17173.932291666668,14838277.5,14838277.5,,14838277.5,28,0.6298405466970387,0.45063829787234044,0.44560878243512975,0.26644423260247857,0.15695415695415696,0.6328217237308147,0.44489629930866204,1,542.0,-298.0,54.0,-4.0
6,0,1.0,2659494.6,2659494.6,2015,12,2017,2,304.0,421.0,89.0,864.0,1168.0,1285.0,0.21140142517814728,117.0,0.29276315789473684,6317.089311163896,8748.3375,3078.11875,2659494.6,2659494.6,,2659494.6,7,0.6298405466970387,0.45063829787234044,0.543384260593831,0.26644423260247857,0.15695415695415696,0.6328217237308147,0.44489629930866204,0,,,-117.0,-206.0
7,1,1.0,50688.0,50688.0,2015,12,2016,1,0.0,47.0,0.0,232.0,232.0,279.0,0.0,47.0,,1078.468085106383,0.0,218.48275862068965,50688.0,50688.0,,50688.0,0,0.6298405466970387,0.45063829787234044,0.543384260593831,0.5931108719052745,0.5170542635658915,0.4388593523441276,0.44489629930866204,0,29.0,29.0,-47.0,-47.0
8,0,0.008990384615384615,4229.076923076923,4229.076923076923,2015,12,2016,2,118.0,82.0,0.0,233.0,351.0,315.0,0.0,-36.0,0.0,51.574108818011254,35.839634941329855,18.15054473423572,845.8153846153846,2734.875,1173.783871694476,39.55769230769231,0,0.5313336904124264,0.6793048973143759,0.543384260593831,0.26644423260247857,0.6871871871871872,0.509775967413442,0.6768100734522561,0,,,36.0,36.0
9,0,0.008990384615384615,5028.501923076923,5028.501923076923,2015,12,2016,2,118.0,82.0,0.0,233.0,351.0,315.0,0.0,-36.0,0.0,61.32319418386491,42.614423076923075,21.58155331792671,1005.7003846153846,3464.175,1464.2814841337704,39.55769230769231,0,0.5313336904124264,0.6793048973143759,0.543384260593831,0.26644423260247857,0.6871871871871872,0.509775967413442,0.6768100734522561,0,,,36.0,36.0
